Ticker,Leverage,Total Return,Win Rate,Trades,Final Balance
1MBABYDOGEUSDT,10,-21.08638041581154,32.30769230769231,65,789.1361958418846
PROMUSDT,10,-21.94695600104759,22.916666666666664,48,780.5304399895241
XVGUSDT,10,-22.069811643939293,33.33333333333333,111,779.301883560607
AXSUSDT,10,-22.21335687407834,30.526315789473685,95,777.8664312592166
ATOMUSDT,10,-22.21552529095885,32.20338983050847,118,777.8447470904115
SYRUPUSDT,10,-22.57498705879342,32.432432432432435,37,774.2501294120658
GLMRUSDT,10,-23.108925578442292,24.0,25,768.9107442155771
ALTUSDT,10,-23.174657991658147,36.52173913043478,115,768.2534200834185
STPTUSDT,10,-23.1961973275721,14.285714285714285,21,768.038026724279
CRVUSDT,10,-23.476483221369847,31.428571428571427,105,765.2351677863015
WALUSDT,10,-23.84580233657824,30.0,40,761.5419766342176
COWUSDT,10,-24.01889747152094,39.62264150943396,53,759.8110252847906
RAREUSDT,10,-25.055837235630257,30.303030303030305,66,749.4416276436974
TUTUSDT,10,-25.438599954568474,28.947368421052634,38,745.6140004543153
SOPHUSDT,10,-25.640277052555938,34.375,32,743.5972294744406
ALPINEUSDT,10,-25.761557330523498,31.57894736842105,38,742.384426694765
LQTYUSDT,10,-26.03344654636827,31.914893617021278,94,739.6655345363173
AVAAIUSDT,10,-26.19787526901638,32.142857142857146,56,738.0212473098362
ROSEUSDT,10,-26.739215303520815,33.33333333333333,126,732.6078469647919
1000LUNCUSDT,10,-26.83850217230449,35.57692307692308,104,731.6149782769551
ARUSDT,10,-27.197216872223066,35.08771929824561,114,728.0278312777693
DMCUSDT,10,-27.233459623002343,26.923076923076923,26,727.6654037699766
PLAYUSDT,10,-27.252940663241326,24.0,25,727.4705933675867
AVAUSDT,10,-27.307193177724866,29.545454545454547,44,726.9280682227513
UNFIUSDT,10,-27.394351232004805,34.61538461538461,52,726.0564876799519
BRETTUSDT,10,-27.399053976052528,31.506849315068493,73,726.0094602394747
STOUSDT,10,-27.7627887516286,30.0,30,722.372112483714
ANIMEUSDT,10,-27.872668456234905,31.372549019607842,51,721.2733154376509
NEOUSDT,10,-27.94642574557126,31.932773109243694,119,720.5357425442874
OXTUSDT,10,-27.984961065750475,31.967213114754102,122,720.1503893424953
POLYXUSDT,10,-28.03449945934457,33.84615384615385,130,719.6550054065543
PUMPUSDT,10,-28.21597921699895,23.076923076923077,26,717.8402078300105
ASRUSDT,10,-28.343087795657627,28.57142857142857,35,716.5691220434237
XLMUSDT,10,-28.80364192491212,29.059829059829063,117,711.9635807508788
ONTUSDT,10,-29.017389300688546,30.973451327433626,113,709.8261069931145
SKLUSDT,10,-29.63034084940729,34.710743801652896,121,703.6965915059271
