Ticker,Final Balance,Return (%),Win Rate (%),Profit Factor,MDD (%),Total Trades,Score
BNTUSDT,86.05,-91.39,30.3,0.9,-95.05,627,0.28391462779802185
DUSDT,84.83,-91.52,28.12,0.81,-93.95,345,0.23988625592417062
MOCAUSDT,84.16,-91.58,30.25,0.85,-96.51,367,0.2636909034970772
KASUSDT,83.91,-91.61,32.26,0.94,-93.45,685,0.3210629962943356
ORCAUSDT,83.9,-91.61,30.86,0.87,-94.05,405,0.2824639663335087
ESPORTSUSDT,82.7,-91.73,27.12,0.68,-93.83,177,0.19447010439734264
IMXUSDT,82.49,-91.75,34.52,1.01,-92.96,1379,0.37106428267347813
MINAUSDT,82.01,-91.8,33.19,0.97,-94.87,913,0.3358120371336184
GPSUSDT,81.77,-91.82,33.51,0.85,-93.8,367,0.30045886075949363
TRXUSDT,80.51,-91.95,32.56,1.01,-96.05,1511,0.3388521380731582
1000LUNCUSDT,79.61,-92.04,32.73,0.99,-95.69,1051,0.33511945392491466
ONDOUSDT,79.38,-92.06,33.61,0.95,-94.77,711,0.33339772371306253
TSTUSDT,78.7,-92.13,31.91,0.84,-94.56,351,0.2804981163666806
DOTUSDT,77.41,-92.26,33.63,1.03,-97.77,1692,0.3507026425027843
PIPPINUSDT,77.35,-92.27,37.25,0.98,-97.76,553,0.3696334548400162
BICOUSDT,71.04,-92.9,32.65,0.95,-93.79,827,0.327223335794915
WOOUSDT,68.48,-93.15,34.61,1.0,-93.63,1329,0.365740251505865
INJUSDT,67.93,-93.21,34.23,0.99,-93.75,1195,0.35765382585751976
XVSUSDT,67.78,-93.22,32.01,0.94,-95.28,831,0.31251973410884915
4USDT,67.51,-93.25,32.32,0.65,-93.91,164,0.2213465388262565
ZRXUSDT,67.3,-93.27,34.08,1.04,-94.14,1998,0.3725373134328358
ENJUSDT,66.52,-93.35,34.5,1.03,-98.04,1936,0.35879442649434573
IOTAUSDT,66.53,-93.35,33.76,1.03,-98.72,1961,0.34870437224227835
STOUSDT,64.6,-93.54,29.49,0.76,-93.78,295,0.2364676092002532
DGBUSDT,61.02,-93.9,32.83,0.97,-96.09,993,0.3279956741167988
DFUSDT,56.5,-94.35,27.33,0.72,-95.55,300,0.2038073537027447
SKLUSDT,54.01,-94.6,34.92,1.04,-98.43,2065,0.3652499245700493
PENDLEUSDT,53.28,-94.67,33.01,0.96,-96.32,927,0.3256226880394575
NMRUSDT,52.78,-94.72,32.53,0.94,-94.73,830,0.31942128904209754
SAFEUSDT,52.21,-94.78,28.8,0.79,-95.28,375,0.23631076028250936
KAVAUSDT,51.09,-94.89,34.57,1.02,-98.18,1889,0.35552934059286145
MOODENGUSDT,46.26,-95.37,34.89,0.98,-97.7,622,0.3464255319148936
SNXUSDT,45.22,-95.48,34.77,1.03,-98.67,2151,0.3593167452593559
QTUMUSDT,45.11,-95.49,33.3,1.03,-97.52,1949,0.348142509135201
ARUSDT,44.39,-95.56,34.43,1.01,-97.77,1606,0.3520735041004353
AGTUSDT,44.21,-95.58,29.94,0.76,-96.66,314,0.23299610894941636
ANKRUSDT,44.07,-95.59,33.91,1.02,-96.36,1737,0.3552608874281019
ICXUSDT,42.39,-95.76,34.78,1.02,-95.79,1774,0.36652133484864136
MTLUSDT,42.16,-95.78,34.15,1.02,-98.4,1593,0.3504325955734406
1INCHUSDT,40.52,-95.95,33.29,1.01,-98.03,1730,0.3395223669595072
BANUSDT,40.0,-96.0,33.33,0.85,-96.5,477,0.29056923076923075
CHILLGUYUSDT,39.81,-96.02,33.93,0.9,-97.13,610,0.31118923876490373
USTCUSDT,39.3,-96.07,31.09,0.92,-97.43,727,0.2905902671949609
MEMEUSDT,39.23,-96.08,32.24,0.95,-97.38,912,0.31132343972352106
LTCUSDT,37.34,-96.27,32.41,1.0,-98.54,1694,0.3255977496483825
LPTUSDT,37.35,-96.27,33.7,1.0,-96.9,1472,0.3442288049029622
C98USDT,36.21,-96.38,33.38,1.0,-97.03,1534,0.34050800775272877
BCHUSDT,35.76,-96.42,32.37,1.0,-98.97,1764,0.3237971391417425
TRUUSDT,35.4,-96.46,33.24,0.95,-96.63,1026,0.32344566219399773
XTZUSDT,33.35,-96.66,34.15,1.01,-98.84,1889,0.3454677483974359
COTIUSDT,32.46,-96.75,34.82,1.02,-97.59,1844,0.36024343239679485
SXPUSDT,32.17,-96.78,34.46,1.02,-98.8,1898,0.35219639278557113
LITUSDT,30.28,-96.97,34.33,1.0,-98.59,1567,0.34471332463098703
CHZUSDT,29.86,-97.01,33.24,1.01,-99.64,1724,0.3335890302066773
SWELLUSDT,28.63,-97.14,33.12,0.84,-97.54,462,0.2823300182666937
ATAUSDT,27.58,-97.24,32.75,0.99,-97.6,1487,0.3288286004056795
XLMUSDT,26.21,-97.38,33.41,1.0,-98.39,1775,0.33615051816078073
CATIUSDT,25.94,-97.41,28.97,0.81,-98.92,497,0.2348448759007206
HOTUSDT,24.65,-97.53,33.05,0.99,-98.28,1549,0.32956788879935534
1000RATSUSDT,23.76,-97.62,35.01,0.96,-98.97,1031,0.33619685905771735
TRBUSDT,23.38,-97.66,34.96,1.04,-98.72,2254,0.36460489370236665
DASHUSDT,22.83,-97.72,33.83,1.0,-99.37,1809,0.3370529042542592
