Leverage,Final Balance,Return (%),Win Rate (%),MDD (%),Profit Factor,Total Trades,Ticker,Score
10,222.20776360749957,-77.77922363925003,44.899478778853315,-80.27163546731,0.9605003742735034,1343,ATHUSDT,-0.9570279125308764
20,60.17909221543912,-93.98209077845608,48.36173001310616,-95.16181798950842,0.9763303627002407,1526,ATHUSDT,-0.977332716283607
1,990.7228792281096,-0.9277120771890395,37.333333333333336,-5.726163337696241,0.9837138557936155,75,BARDUSDT,-0.1379258918661329
5,728.6809851018606,-27.131901489813938,35.6401384083045,-41.36008907022864,0.8678872957010692,289,BARDUSDT,-0.640506242676498
10,419.77869501239803,-58.022130498760205,37.1571072319202,-74.10415272164784,0.8666009694422275,401,BARDUSDT,-0.7725555564657353
20,196.8063354751465,-80.31936645248535,41.299790356394126,-92.31580551117713,0.9518059610499333,477,BARDUSDT,-0.8607262833182627
1,773.7514014473811,-22.62485985526189,31.981637337413925,-28.537363123199366,0.9519320318662564,1307,APEUSDT,-0.7659742598177889
5,94.98191223756317,-90.50180877624369,37.98816568047337,-92.43646418215043,0.9908625972565084,5070,APEUSDT,-0.9685919685468218
10,4.99252128174458,-99.50074787182555,39.661094572933365,-99.50694959320634,0.9262534700259081,4367,APEUSDT,-0.989988734854124
20,2.4878855170973244,-99.75121144829026,42.89970208540218,-99.75726043839313,0.8916994318941728,2014,APEUSDT,-0.9900151216326688
1,1074.163284846747,7.416328484674704,36.510263929618766,-14.5962879625692,1.0814515582048048,682,AMBUSDT,0.4755188223296309
5,546.3931584971123,-45.36068415028877,40.159189580318376,-59.579805414057084,1.0310998259628665,2764,AMBUSDT,-0.7487756660862956
10,130.61855514945663,-86.93814448505434,42.45052859853619,-91.08728116941874,1.009779480087129,3689,AMBUSDT,-0.9440841708108287
20,2.4963981294854793,-99.75036018705146,43.57743097238895,-99.75323033044687,0.9248063086610588,2499,AMBUSDT,-0.9900462730563949
1,909.6366740990609,-9.036332590093913,31.08108108108108,-15.70351550958545,0.8117859639308619,148,ARIAUSDT,-0.5409838776099761
5,587.0930544104325,-41.290694558956744,40.0,-47.0228984681724,0.8521187031106003,445,ARIAUSDT,-0.8598126284760284
10,251.00001774460029,-74.89999822553996,42.095588235294116,-80.549657736079,0.7777934403865694,544,ARIAUSDT,-0.9184587686185087
20,80.55708394223193,-91.94429160577681,44.79338842975207,-95.18871997876454,0.8617619830066275,605,ARIAUSDT,-0.9558739489004037
